Title,Year,Genres,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,Facebook Likes - Director,Facebook Likes - Actor 1,Facebook Likes - Actor 2,Facebook Likes - Actor 3,Facebook Likes - cast Total,Facebook likes - Movie,Facenumber in posters,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
Intolerance: Love's Struggle Throughout the Ages ,1916,Drama|History|War,,USA,Not Rated,123,1.33,385907.0,,D.W. Griffith,Lillian Gish,Mae Marsh,Walter Long,204,436,22,9.0,481,691,1,10718,88,69.0,8.0
Over the Hill to the Poorhouse ,1920,Crime|Drama,,USA,,110,1.33,100000.0,3000000.0,Harry F. Millarde,Stephen Carr,Johnnie Walker,Mary Carr,0,2,2,0.0,4,0,1,5,1,1.0,4.8
The Big Parade ,1925,Drama|Romance|War,,USA,Not Rated,151,1.33,245000.0,,King Vidor,John Gilbert,Renée Adorée,Claire Adams,54,81,12,6.0,108,226,0,4849,45,48.0,8.3
Metropolis ,1927,Drama|Sci-Fi,German,Germany,Not Rated,145,1.33,6000000.0,26435.0,Fritz Lang,Brigitte Helm,Gustav Fröhlich,Rudolf Klein-Rogge,756,136,23,18.0,203,12000,1,111841,413,260.0,8.3
Pandora's Box ,1929,Crime|Drama|Romance,German,Germany,Not Rated,110,1.33,,9950.0,Georg Wilhelm Pabst,Louise Brooks,Francis Lederer,Fritz Kortner,21,426,20,3.0,455,926,1,7431,84,71.0,8.0
The Broadway Melody ,1929,Musical|Romance,English,USA,Passed,100,1.37,379000.0,2808000.0,Harry Beaumont,Anita Page,Bessie Love,Charles King,4,77,28,4.0,109,167,8,4546,71,36.0,6.3
Hell's Angels ,1930,Drama|War,English,USA,Passed,96,1.2,3950000.0,,Howard Hughes,Jean Harlow,Marian Marsh,James Hall,177,431,12,4.0,457,279,1,3753,53,35.0,7.8
A Farewell to Arms ,1932,Drama|Romance|War,English,USA,Unrated,79,1.37,800000.0,,Frank Borzage,Gary Cooper,Helen Hayes,Adolphe Menjou,57,998,164,99.0,1284,213,1,3519,46,42.0,6.6
42nd Street ,1933,Comedy|Musical|Romance,English,USA,Unrated,89,1.37,439000.0,2300000.0,Lloyd Bacon,Ginger Rogers,Dick Powell,George Brent,24,610,105,45.0,995,439,2,7921,97,65.0,7.7
She Done Him Wrong ,1933,Comedy|Drama|History|Musical|Romance,English,USA,Approved,66,1.37,200000.0,,Lowell Sherman,Mae West,Gilbert Roland,Louise Beavers,16,418,85,28.0,583,328,1,4152,59,35.0,6.5
It Happened One Night ,1934,Comedy|Romance,English,USA,Unrated,65,1.37,325000.0,,Frank Capra,Claudette Colbert,Alan Hale,Walter Connolly,964,380,114,21.0,540,0,1,64888,235,124.0,8.2
Top Hat ,1935,Comedy|Musical|Romance,English,USA,Approved,81,1.37,609000.0,3000000.0,Mark Sandrich,Ginger Rogers,Edward Everett Horton,Eric Blore,10,610,172,23.0,824,1000,2,13269,98,66.0,7.8
Modern Times ,1936,Comedy|Drama|Family,English,USA,G,87,1.37,1500000.0,163245.0,Charles Chaplin,Paulette Goddard,Stanley Blystone,Fred Malatesta,0,309,8,8.0,352,0,1,143086,211,120.0,8.6
The Charge of the Light Brigade ,1936,Action|Adventure|Romance|War,English,USA,Approved,100,1.37,1200000.0,,Michael Curtiz,Errol Flynn,David Niven,Spring Byington,345,843,490,94.0,1621,204,3,3418,52,24.0,7.1
Snow White and the Seven Dwarfs ,1937,Animation|Family|Fantasy|Musical,English,USA,Approved,83,1.37,2000000.0,184925485.0,William Cottrell,Adriana Caselotti,Billy Gilbert,Lucille La Verne,0,82,47,31.0,229,0,1,133348,204,145.0,7.7
The Prisoner of Zenda ,1937,Adventure|Drama|Romance,English,USA,Approved,101,1.37,,,John Cromwell,David Niven,Mary Astor,Ronald Colman,19,490,185,135.0,1166,337,2,3256,44,7.0,7.8
Alexander's Ragtime Band ,1938,Drama|Musical|Romance,English,USA,Approved,106,1.37,2000000.0,,Henry King,Tyrone Power,Don Ameche,John Carradine,85,480,392,300.0,1833,60,2,1381,29,10.0,7.0
You Can't Take It with You ,1938,Comedy|Drama|Romance,English,USA,Approved,126,1.37,1644736.0,,Frank Capra,Jean Arthur,Ann Miller,Lionel Barrymore,964,319,302,275.0,1363,0,10,17799,133,51.0,8.0
Gone with the Wind ,1939,Drama|History|Romance|War,English,USA,G,226,1.37,3977000.0,198655278.0,Victor Fleming,Hattie McDaniel,George Reeves,Thomas Mitchell,149,503,384,248.0,1862,16000,1,215340,706,157.0,8.2
Mr. Smith Goes to Washington ,1939,Comedy|Drama,English,USA,Not Rated,120,1.37,1500000.0,,Frank Capra,Claude Rains,Jean Arthur,Thomas Mitchell,964,607,319,248.0,1573,0,7,77392,245,96.0,8.2
